"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25031205","S","43","2to4","2460 1st Street","Fort Lee","$1,450,000","12/23/2025","$1,499,000","2 Fam","","5,001","7","5","0"
"1","25036987","S","12","2to4","405 Chestnut Street","Ridgefield","$1,300,000","12/22/2025","$1,295,000","2 Fam","","5,449","6","5","0"
"1","26000554","S","97","2to4","243 Hayward Place","Wallington","$1,200,000","12/30/2025","$1,200,000","2 Fam","","5,009","7","5","0"
"1","25033976","S","53","2to4","219 Cliff Street","Cliffside Park","$1,150,000","12/23/2025","$1,199,900","2 Fam","","6,425","7","3","0"
"1","25039021","S","13","2to4","85 Beckwith Place","Rutherford","$999,999","12/26/2025","$1,149,000","2 Fam","","7,501","5","4","0"
"1","25033021","S","20","2to4","235 Grantwood Boulevard","Palisades Park","$999,000","12/11/2025","$999,000","2 Fam","","","6","3","0"
"1","25030737","S","20","2to4","403 Undercliff Avenue","Edgewater","$999,000","12/17/2025","$995,000","2 Fam","","2,500","5","3","0"
"1","25031466","S","37","2to4","108 Summit Terrace","Cliffside Park","$995,000","12/01/2025","$1,079,000","3 Fam","","5,502","6","3","0"
"1","25026073","S","35","2to4","245 Hillside Avenue","Leonia","$995,000","12/02/2025","$1,095,000","2 Fam","","6,336","4","4","0"
"1","25039445","S","19","2to4","60 Prospect Terrace","East Rutherford","$990,000","12/16/2025","$849,000","3 Fam","","4,966","5","4","0"
"1","25032522","S","26","2to4","768 Florence Place","Cliffside Park","$989,000","12/10/2025","$989,000","2 Fam","","4,199","5","3",""
"1","25035786","S","13","2to4","1 Rossi Court","South Hackensack","$970,000","12/16/2025","$899,000","2 Fam","","7,501","7","3","2"
"1","25037783","S","19","2to4","518 Palisade Avenue","Garfield","$960,000","12/08/2025","$949,000","2 Fam","","5,048","6","3","2"
"1","25036040","S","12","2to4","109 Morrell Place","Garfield","$951,719","12/19/2025","$939,000","2 Fam","","5,000","7","5","0"
"1","25033236","S","26","2to4","117-119 Ridge Avenue","Park Ridge","$941,000","12/17/2025","$915,000","2 Fam","","20,761","6","2","1"
"1","25034581","S","9","2to4","258 Kingsland Avenue","Lyndhurst","$935,000","12/03/2025","$899,000","2 Fam","","5,401","4","3","0"
"1","25027043","S","33","2to4","149 Paterson Avenue","Lodi","$915,000","12/04/2025","$875,000","2 Fam","","5,001","6","3","1"
"1","25036587","S","15","2to4","402 Morse Avenue","Ridgefield","$910,000","12/03/2025","$850,000","2 Fam","","3,999","5","2","0"
"1","25018405","S","145","2to4","71 Miles Street","Elmwood Park","$905,000","12/05/2025","$999,000","2 Fam","","6,599","6","5","0"
"1","25031920","S","17","2to4","70 Pink Street","Hackensack","$900,000","12/30/2025","$839,900","3 Fam","","4,800","7","4","0"
"1","25026633","S","29","2to4","50 Van Riper Avenue","Elmwood Park","$900,000","12/03/2025","$849,999","2 Fam","","4,500","6","2","0"
"1","25036500","S","11","2to4","30 Pierrepont Avenue","Rutherford","$888,500","12/08/2025","$799,000","2 Fam","","5,001","5","2","0"
"1","25032453","S","25","2to4","592 Central Avenue","Carlstadt","$880,000","12/18/2025","$819,000","2 Fam","","5,001","6","2","1"
"1","25027722","S","54","2to4","167 Columbia Street","Wood Ridge","$875,000","12/22/2025","$899,000","2 Fam","","","7","3","0"
"1","25038692","S","45","2to4","15 Storig Avenue","Closter","$855,000","12/19/2025","$899,000","2 Fam","","7,405","4","2","0"
"1","25025795","S","26","2to4","40 Avenue A","Lodi","$850,000","12/19/2025","$849,000","2 Fam","","5,349","4","3","0"
"1","25034024","S","35","2to4","38 Malcolm              Avenue","Garfield","$840,000","12/15/2025","$839,000","2 Fam","","","5","2","0"
