"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","25023313","S","69","RES","620 Grandview Terrace","Franklin Lakes","$4,850,000","03/06/2026","$4,679,000","Colonial","","43,996","5","7","2"
"1","25039960","S","53","RES","44 Orchard Road","Demarest","$4,600,000","03/05/2026","$4,698,000","Colonial","","43,039","7","7","1"
"1","25041159","S","62","RES","11 Sherwood Court","Alpine","$4,000,000","03/06/2026","$4,300,000","Contemp","","88,470","6","5","1"
"1","25020969","S","172","RES","356 Indian Trail Drive","Franklin Lakes","$3,050,000","03/02/2026","$3,295,000","Colonial","","57,064","6","6","1"
"1","25033256","S","56","RES","5 Leslie Place","Tenafly","$2,425,000","03/06/2026","$2,498,000","Colonial","","26,902","5","4","1"
"1","25040970","S","21","RES","8 Howard Park Drive","Tenafly","$2,060,000","03/05/2026","$2,050,000","Colonial","","9,374","5","4","1"
"1","25042609","S","14","RES","30 Sun Valley Road","Ramsey","$1,900,000","03/05/2026","$1,900,000","Contemp","","41,295","6","4","1"
"1","25026372","S","51","RES","840 Stonewall Court","Franklin Lakes","$1,875,000","03/12/2026","$1,999,000","Colonial","","51,488","4","5","2"
"1","25042865","S","21","RES","24 Sutton Drive","Ho-Ho-Kus","$1,850,000","03/11/2026","$1,799,000","Colonial","","10,241","4","3","1"
"1","25042219","S","42","RES","285 Wayne Avenue","River Edge","$1,700,000","03/05/2026","$1,749,995","Colonial","","8,102","5","5","0"
"1","25033006","S","57","RES","24 Westervelt Avenue","Tenafly","$1,700,000","03/07/2026","$1,695,000","Colonial","","14,471","5","4","1"
"1","25043364","S","18","RES","442 Ellis Place","Wyckoff","$1,685,000","03/02/2026","$1,599,999","Split","","","5","4","0"
"1","24019594","S","251","RES","732 Terrace Heights","Wyckoff","$1,675,000","03/02/2026","$1,750,000","Colonial","6,550","33,223","6","7","1"
"1","25043444","S","9","RES","347 Smith Place","Wyckoff","$1,625,500","03/04/2026","$1,350,000","Colonial","","","4","2","1"
"1","25033760","S","124","RES","204 Woodland Road","New Milford","$1,580,000","03/13/2026","$1,649,000","Colonial","","10,920","7","5","0"
"1","26003843","S","6","RES","22 Knollwood Drive","Ho-Ho-Kus","$1,525,000","03/12/2026","$1,100,000","Colonial","","22,346","4","2","0"
"1","25038730","S","83","RES","215 Kensington Road","River Edge","$1,515,000","03/03/2026","$1,549,999","Colonial","","5,998","5","4","2"
"1","25042412","S","55","RES","412 Tappan Road","Northvale","$1,490,000","03/06/2026","$1,488,000","Colonial","","10,293","6","5","1"
"1","26000456","S","10","RES","117 Van Riper Lane","Woodcliff Lake","$1,450,000","03/02/2026","$1,359,000","Colonial","","22,909","5","3","2"
"1","25025094","S","176","RES","66 Elm Street","Englewood Cliffs","$1,425,000","03/09/2026","$1,499,000","Colonial","","7,501","4","3","1"
"1","26000327","S","22","RES","582 Eder Avenue","Wyckoff","$1,375,000","03/09/2026","$1,475,000","Colonial","","43,599","4","2","1"
"1","26008776","S","58","RES","145 13th Street","Cresskill","$1,300,000","03/13/2026","$1,300,000","Split","","15,002","3","3","1"
"1","25038528","S","12","RES","1068 Fairview Lane","Fort Lee","$1,300,000","03/03/2026","$1,179,000","Ranch","","5,001","3","3","0"
"1","25042847","S","12","RES","170 Hickory Avenue","Tenafly","$1,295,000","03/09/2026","$1,079,000","Cape Cod","","12,200","3","3","0"
"1","25039190","S","50","RES","2 Crocker Mansion Drive","Mahwah","$1,250,000","03/09/2026","$1,250,000","Ranch","","43,124","4","2","1"
"1","25040954","S","12","RES","565 Faletti Way","River Vale","$1,230,000","03/06/2026","$1,200,000","Colonial","","19,774","4","5","0"
"1","26002258","S","8","RES","45 Lake Road","Upper Saddle River","$1,200,000","03/10/2026","$895,000","Colonial","","20,909","5","3","0"
"1","25032651","S","77","RES","26 Daniel Court","Woodcliff Lake","$1,180,000","03/06/2026","$1,275,000","Contemp","","22,534","5","3","0"
"1","25043261","S","23","RES","83 Madison Avenue","Rochelle Park","$1,170,000","03/05/2026","$1,250,000","Colonial","","6,499","5","4","0"
"1","25039159","S","62","RES","314 Lambert             ","Northvale","$1,145,000","03/09/2026","$1,175,000","Colonial","","6,000","4","3","1"
"1","26001138","S","5","RES","111 Crain Road","Paramus","$1,125,000","03/13/2026","$1,150,000","Colonial","","10,437","4","2","2"
"1","25038800","S","10","RES","574 Wittich Terrace","River Vale","$1,125,000","03/12/2026","$899,000","BiLvl","","28,649","4","2","1"
"1","25038686","S","42","RES","101 Glen Avenue","Paramus","$1,100,000","03/10/2026","$1,100,000","BiLvl","","12,689","6","3","0"
"1","25034685","S","133","RES","522 Grove Street","Ridgewood","$1,100,000","03/06/2026","$1,150,000","Colonial","","10,498","4","3","0"
"1","25042472","S","59","RES","83 Hampshire Road","Township of Washington","$1,089,000","03/04/2026","$1,099,000","Ranch","","32,596","3","3","1"
"1","25020554","S","9","RES","30 Highwood             Avenue","Midland Park","$1,089,000","03/13/2026","$925,000","Colonial","","17,001","4","3","0"
"1","26000870","S","8","RES","88 Montross Avenue","Rutherford","$1,050,000","03/02/2026","$999,999","Colonial","","7,958","6","5","1"
"1","25040624","S","12","RES","5 Greene Street","Mahwah","$1,050,000","03/09/2026","$949,000","Colonial","","15,298","4","2","1"
"1","26003147","S","8","RES","45 Merritt Drive","Oradell","$1,025,000","03/05/2026","$920,000","Split","","15,002","3","2","1"
"1","26009106","S","65","RES","30 Randolph Place","Ridgewood","$1,021,000","03/13/2026","$999,999","Colonial","","21,170","3","1","1"
"1","26001561","S","13","RES","331 Undercliff Avenue","Edgewater","$999,999","03/09/2026","$1,020,000","Colonial","","2,500","3","2","1"
"1","25043464","S","9","RES","418 Prospect Street","Glen Rock","$999,999","03/02/2026","$899,000","Colonial","","11,352","4","2","1"
"1","25041708","S","13","RES","24 Jerome Avenue","Glen Rock","$999,999","03/09/2026","$939,000","Colonial","","5,998","4","2","1"
"1","25016478","S","241","RES","1082 Palisade             Avenue","Fort Lee","$999,000","03/09/2026","$999,000","BiLvl","","11,252","4","5","1"
"1","25037150","S","23","RES","110 Phelps Avenue","Englewood","$980,000","03/11/2026","$1,199,000","Colonial","","7,148","3","2","1"
"1","26000143","S","10","RES","657 Jones Road","River Vale","$977,000","03/10/2026","$920,000","Split","","17,550","4","2","1"
"1","25032439","S","132","RES","416 Kingsland Avenue","Lyndhurst","$970,000","03/02/2026","$999,900","Colonial","","3,101","4","2","1"
"1","26000537","S","16","RES","90 Greenway Road","Glen Rock","$941,000","03/06/2026","$899,900","Cape Cod","","","4","2","0"
"1","26002467","S","21","RES","368 Elmwood Drive","Paramus","$925,000","03/12/2026","$875,000","Split","","10,250","3","2","0"
"1","26000760","S","15","RES","83 Cottage Place","Westwood","$906,000","03/05/2026","$899,000","BiLvl","","13,051","5","3","0"
"1","25036137","S","124","RES","947 E Glen                 Avenue","Ridgewood","$900,000","03/02/2026","$910,000","Cape Cod","","29,621","4","2","0"
"1","25042038","S","35","RES","117 Brookview Terrace","Bergenfield","$896,000","03/12/2026","$849,000","Split","","9,701","3","2","0"
"1","25043778","S","5","RES","295 Georgian Drive","Paramus","$882,000","03/11/2026","$799,900","Split","","12,915","3","1","2"
"1","26000856","S","9","RES","940 Garrison Avenue","Teaneck","$876,000","03/12/2026","$849,000","Colonial","","5,301","5","3","1"
"1","25044004","S","14","RES","26 Waldwick Avenue","Waldwick","$870,000","03/06/2026","$794,000","Colonial","","6,350","4","2","1"
"1","25036534","S","57","RES","271 North                Avenue","Wood Ridge","$850,000","03/09/2026","$879,000","Contemp","","4,200","4","3","0"
"1","25039869","S","65","RES","279 West Place","Township of Washington","$840,000","03/06/2026","$899,000","Split","","26,000","3","1","1"
"1","25038812","S","45","RES","50 Carlson Court","Closter","$825,000","03/13/2026","$960,000","Split","","12,197","3","3","0"
"1","26002970","S","12","RES","28 Glenwood Avenue","Leonia","$820,000","03/06/2026","$749,000","Colonial","","6,700","4","2","1"
"1","25043130","S","53","RES","121 Woodland Avenue","Rutherford","$795,000","03/13/2026","$890,000","BiLvl","","5,375","3","1","2"
"1","25041904","S","53","RES","40 Eagle Street","North Arlington","$780,000","03/11/2026","$850,000","Ranch","","8,917","3","2","0"
"1","26003521","S","27","RES","715 Bush Place","Paramus","$775,000","03/09/2026","$799,900","Split","","9,577","3","1","2"
"1","25037535","S","84","RES","30 Herring Street","Harrington Park","$775,000","03/11/2026","$828,000","Colonial","","10,001","5","2","1"
"1","26002319","S","8","RES","44 Leonard Drive","Waldwick","$771,000","03/05/2026","$699,999","Ranch","","7,501","3","2","0"
"1","26001924","S","13","RES","601 Oakwood Drive","Northvale","$770,000","03/13/2026","$765,000","Split","","14,488","5","1","1"
"1","26002089","S","9","RES","36 N Vivyen Street","Bergenfield","$760,000","03/06/2026","$650,000","Split","","5,998","3","2","1"
"1","25039609","S","32","RES","221 Passaic Avenue","Hasbrouck Heights","$755,000","03/06/2026","$749,000","Colonial","","6,098","4","3","0"
"1","25042444","S","44","RES","7 Azalea Drive","Wallington","$739,000","03/13/2026","$739,000","Colonial","","5,009","4","2","0"
"1","26000290","S","19","RES","824 Summit Avenue","Hackensack","$730,000","03/09/2026","$769,999","Cape Cod","","10,001","4","2","0"
"1","25044000","S","9","RES","24 Argonne Court","Teaneck","$730,000","03/02/2026","$695,000","Colonial","","6,556","4","2","1"
"1","25036687","S","48","RES","280 Knickerbocker Road","Closter","$730,000","03/12/2026","$775,000","Ranch","","8,712","4","2","0"
"1","25029229","S","70","RES","156 E Linden Avenue","Dumont","$730,000","03/02/2026","$739,999","Cape Cod","","6,621","5","4","0"
"1","25038550","S","106","RES","29 Mount Pleasant Avenue","Wallington","$729,900","03/02/2026","$729,900","Colonial","","4,922","3","3","0"
"1","26003076","S","13","RES","1065 Blanch Avenue","Norwood","$721,000","03/12/2026","$699,000","Ranch","","10,999","3","1","1"
"1","25027039","S","158","RES","136 Elm Street","Cresskill","$715,000","03/15/2026","$749,999","Cape Cod","","7,919","3","2","1"
"1","25040292","S","65","RES","176 Prospect Street","Garfield","$675,000","03/06/2026","$685,000","Duplex","","1,441","3","3","0"
"1","25029879","S","118","RES","414 Larch Avenue","Bogota","$675,000","03/13/2026","$699,000","Colonial","","8,999","4","2","0"
"1","25039967","S","50","RES","407 Van Luyn Terrace","Saddle Brook","$660,000","03/02/2026","$649,000","Split","","5,998","3","2","0"
"1","26002282","S","14","RES","4 Franklin Place","Hackensack","$650,000","03/11/2026","$649,999","Colonial","","8,063","3","2","0"
"1","25039039","S","28","RES","72 Oak Street","Englewood","$650,000","03/05/2026","$579,900","Split","","11,670","4","2","1"
"1","26002375","S","21","RES","417 Franklin Avenue","Hasbrouck Heights","$645,000","03/13/2026","$618,000","Colonial","","5,001","3","2","0"
"1","25041040","S","11","RES","850 Broad Street","Teaneck","$642,000","03/12/2026","$599,000","Cape Cod","","5,776","3","3","0"
"1","26000388","S","52","RES","340 Northwood Way","Palisades Park","$630,000","03/12/2026","$648,000","Colonial","","4,896","3","1","0"
"1","25039134","S","54","RES","57 18th Avenue","Elmwood Park","$625,000","03/05/2026","$599,000","Cape Cod","","6,373","3","3","0"
"1","26001442","S","23","RES","53 Bergen Avenue","Waldwick","$621,000","03/06/2026","$565,000","Colonial","","3,999","2","1","1"
"1","25036785","S","63","RES","246 Ross                ","Hackensack","$620,000","03/05/2026","$625,000","Cape Cod","","1,540","5","3","0"
"1","26001000","S","11","RES","0-89 Whitehall Street","Fair Lawn","$615,000","03/11/2026","$560,000","Ranch","","","2","2","0"
"1","25043969","S","16","RES","1-37 34th Street","Fair Lawn","$615,000","03/03/2026","$585,000","Cape Cod","","6,050","4","1","1"
"1","25043359","S","44","RES","53 Petersilge Drive","Little Ferry","$600,000","03/12/2026","$599,000","Split","","6,750","4","1","1"
"1","26000629","S","15","RES","176 Trotta Drive","New Milford","$590,000","03/02/2026","$575,000","Cape Cod","","7,501","3","1","0"
"1","26001334","S","14","RES","138 Fern Avenue","Lyndhurst","$585,000","03/02/2026","$574,000","Colonial","","5,811","3","1","1"
"1","26002203","S","10","RES","619 Lewandowski Street","Lyndhurst","$575,000","03/04/2026","$598,000","Cape Cod","","5,075","2","2","0"
"1","26001573","S","22","RES","75 Cedar Street","Garfield","$570,000","03/03/2026","$549,999","Colonial","","3,125","3","2","0"
"1","25037355","S","61","RES","144 Corabelle Avenue","Lodi","$570,000","03/06/2026","$559,000","Cape Cod","","5,001","3","2","0"
"1","26003839","S","13","RES","82-84 Schuyler Avenue","North Arlington","$550,000","03/06/2026","$499,900","Cape Cod","","3,751","3","2","0"
"1","25040371","S","40","RES","43 Birchwood Drive","Elmwood Park","$550,000","03/06/2026","$530,000","Cape Cod","","5,401","2","2","0"
"1","25030714","S","100","RES","142 Slocum Avenue","Englewood","$550,000","03/09/2026","$530,000","Colonial","","6,752","3","1","1"
"1","26000839","S","18","RES","638 Washington Avenue","Township of Washington","$540,000","03/09/2026","$505,000","BiLvl","","5,001","3","1","1"
"1","25035459","S","106","RES","188 Scharer Avenue","Northvale","$535,000","03/13/2026","$535,000","Colonial","","8,298","2","1","0"
"1","26009296","S","35","RES","41 Vanderburgh Avenue","Rutherford","$530,000","03/11/2026","$530,000","Colonial","","4,591","4","2","0"
"1","25037026","S","25","RES","31-12 Rosalie Street","Fair Lawn","$520,000","03/06/2026","$549,000","Cape Cod","","5,998","3","2","0"
"1","26007992","S","128","RES","775 Chase Avenue","Lyndhurst","$505,000","03/06/2026","$569,000","Colonial","","4,330","4","3","0"
"1","25044177","S","21","RES","593 Beverly Road","Teaneck","$470,000","03/11/2026","$445,000","RowH","","1,464","3","1","0"
"1","25042539","S","19","RES","91 Birchwood Drive","Elmwood Park","$470,000","03/09/2026","$474,999","Cape Cod","","5,301","3","1","0"
"1","25043311","S","8","RES","60 Winant Avenue","Ridgefield Park","$440,000","03/03/2026","$424,999","Colonial","","2,470","4","2","1"
"1","25038592","S","6","RES","129 Westwood Boulevard","Westwood","$435,000","03/03/2026","$310,000","Colonial","","5,001","4","2","0"
