"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths"
"1","26014544","S","4","CCT","8 Stone Bridge Court","Demarest","$3,325,000","05/27/2026","$3,325,000","TWNHS","","","4","4","1"
"1","26006858","S","5","CCT","165 Cortland Drive Unit#5","Saddle River","$2,450,000","05/11/2026","$2,290,000","TWNHS","3,667","","3","4","1"
"1","26005631","S","21","CCT","51 Lexington            Court Unit#51","Englewood","$2,140,000","05/28/2026","$2,295,000","TWNHS","","","4","3","1"
"1","26008370","S","10","CCT","44 Hazy Gate Terrace","Franklin Lakes","$1,875,000","05/04/2026","$1,850,000","TWNHS","3,020","","3","2","2"
"1","25007041","S","35","CCT","8 Cedar Court","Demarest","$1,855,000","05/06/2026","$1,899,000","TWNHS","","","4","4","1"
"1","26000701","S","57","CCT","7 Cedar                Court","Demarest","$1,700,000","05/01/2026","$1,749,000","TWNHS","2,694","","4","4","1"
"1","26008678","S","17","CCT","1047 Anderson Avenue Unit#B","Fort Lee","$1,675,000","05/26/2026","$1,699,888","Condo","4,200","","4","4","1"
"1","25028369","S","29","CCT","4 Cedar                Court","Demarest","$1,660,000","05/20/2026","$1,690,000","TWNHS","2,694","","4","4","1"
"1","26000693","S","73","CCT","3 Cedar                Court","Demarest","$1,625,000","05/01/2026","$1,645,000","TWNHS","2,694","","4","4","1"
"1","26018110","S","36","CCT","24 Normandy Court","Ho-Ho-Kus","$1,600,000","05/05/2026","$1,599,000","TWNHS","3,537","","3","3","1"
"1","26009340","S","10","CCT","2 Skye Drive","Paramus","$1,500,000","05/15/2026","$1,450,000","TWNHS","2,930","","3","2","2"
"1","26006148","S","10","CCT","327 Lincoln Avenue Unit#B","Fort Lee","$1,475,000","05/22/2026","$1,499,000","Condo","3,724","","5","4","1"
"1","26011989","S","7","CCT","25 Victoria Place","Fort Lee","$1,425,000","05/19/2026","$1,499,000","TWNHS","2,793","","4","3","1"
