"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","25039608","S","172","CCT","11 Stone Bridge Court","Demarest","$3,295,000","06/29/2026","$3,295,000","TWNHS","4,699","","4","4","1","2","Yes","$0"
"1","25042312","S","3","CCT","41 Feldman              Court","Paramus","$2,150,000","06/24/2026","$2,150,000","TWNHS","","","3","3","1","2","No","$0"
"1","26013352","S","34","CCT","900 Palisade Avenue Unit#PH-2405","Fort Lee","$1,985,000","06/24/2026","$2,200,000","Condo","3,200","","3","3","1","2","Yes","$32,805"
"1","26017154","S","1","CCT","27 Feldman              Court","Paramus","$1,950,000","06/29/2026","$1,950,000","TWNHS","","","3","3","1","2","No","$0"
"1","26012947","S","25","CCT","37 Feldman              Court","Paramus","$1,875,000","06/25/2026","$1,899,000","TWNHS","","","3","3","1","2","No","$0"
"1","25041876","S","3","CCT","13 Feldman              Court","Paramus","$1,850,000","06/29/2026","$1,850,000","TWNHS","","","3","3","1","2","No","$0"
"1","26013137","S","6","CCT","25 Garden               Place Unit#A","Edgewater","$1,775,000","06/05/2026","$1,775,000","TWNHS","","","4","3","2","2","No","$0"
"1","26007279","S","7","CCT","1047 Anderson Avenue Unit#A","Fort Lee","$1,675,000","06/05/2026","$1,699,888","Condo","4,200","","4","4","1","2","No","$0"
"1","26010132","S","14","CCT","640 Undercliff Avenue","Edgewater","$1,650,000","06/24/2026","$1,699,000","TWNHS","2,835","","4","3","1","2","No","$25,568"
"1","26006757","S","12","CCT","803 Heights Lane","Tenafly","$1,620,000","06/18/2026","$1,595,000","TWNHS","","","3","4","1","2","No","$33,645"
"1","26000357","S","134","CCT","720 Undercliff Avenue","Edgewater","$1,600,000","06/26/2026","$1,620,000","TWNHS","4,200","","5","4","1","2","No","$25,000"
"1","25040610","S","184","CCT","25 Vela Way","Edgewater","$1,595,000","06/25/2026","$1,625,000","TWNHS","4,600","","4","4","1","2","Yes","$21,809"
"1","26009379","S","6","CCT","2026 Marguerite           Street Unit#Right","Fort Lee","$1,585,000","06/15/2026","$1,599,999","TWNHS","","","3","5","1","2","No","$0"
"1","26005954","S","69","CCT","61 Woodmont             Circle","River Vale","$1,570,000","06/11/2026","$1,598,000","TWNHS","","","3","3","2","2","No","$31,915"
"1","26009398","S","2","CCT","18 William              Street Unit#B","Closter","$1,500,000","06/30/2026","$1,499,000","TWNHS","2,700","","3","3","1","1","No","$0"
"1","26009395","S","39","CCT","20 William              Street Unit#B","Closter","$1,500,000","06/30/2026","$1,599,000","TWNHS","2,700","","3","3","1","1","No","$0"
"1","26009394","S","38","CCT","20 William              Street Unit#A","Closter","$1,500,000","06/30/2026","$1,599,000","TWNHS","2,700","","3","3","1","1","No","$0"
