"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26010703","S","22","2to4","180 Myrtle Avenue","Fort Lee","$1,690,000","07/30/2026","$1,600,000","2 Fam","","","6","4","4","","No","$20,663"
"1","26028593","S","67","2to4","36 Brainard Place","Ridgewood","$1,508,000","07/27/2026","$1,600,000","3 Fam","","7,536","5","3","0","","No","$16,120"
"1","26025513","S","68","2to4","246 E Central Boulevard","Palisades Park","$1,280,000","07/01/2026","$1,280,000","2 Fam","","","6","5","0","","No","$11,844"
"1","26018478","S","14","2to4","24 E Ruby Avenue","Palisades Park","$1,265,000","07/16/2026","$1,250,000","2 Fam","","6,428","7","3","2","2","No","$13,513"
"1","26014400","S","19","2to4","536 2nd Avenue","Lyndhurst","$1,190,000","07/21/2026","$1,199,000","2 Fam","","5,001","5","4","0","2","Yes","$15,190"
"1","26017978","S","12","2to4","195 Van Winkle Street","East Rutherford","$1,100,000","07/07/2026","$1,089,000","2 Fam","","7,501","5","4","1","1","No","$9,115"
"1","26015682","S","26","2to4","95 McKinley Avenue","Lodi","$1,080,000","07/23/2026","$1,059,000","3 Fam","","7,000","8","4","0","0","No","$16,157"
"1","26017050","S","13","2to4","65 Miller Avenue","Elmwood Park","$1,053,000","07/20/2026","$949,000","2 Fam","","4,500","6","2","3","","No","$13,867"
"1","26013919","S","31","2to4","41 Charles Street","Lodi","$1,000,000","07/01/2026","$998,887","3 Fam","","7,501","6","3","0","0","No","$14,215"
"1","26020422","S","7","2to4","88 Avenue A","Lodi","$999,000","07/31/2026","$949,000","2 Fam","","5,336","5","3","0","","No","$15,034"
"1","26015058","S","10","2to4","71 Chestnut Street","Lodi","$999,000","07/08/2026","$949,000","2 Fam","","3,999","6","5","0","2","No","$15,424"
"1","26014324","S","25","2to4","23 Maple Street","Ramsey","$999,000","07/08/2026","$919,999","2 Fam","","5,009","5","2","0","2","No","$15,084"
"1","26008885","S","89","2to4","436 Undercliff Avenue","Edgewater","$966,500","07/10/2026","$999,000","2 Fam","","4,169","5","3","0","2","No","$12,622"
"1","26011926","S","11","2to4","236-238 Crystal Street","North Arlington","$960,000","07/07/2026","$895,000","2 Fam","","3,629","5","3","0","4","No","$12,032"
"1","26015443","S","23","2to4","25 Hazelton Street","Ridgefield Park","$925,000","07/09/2026","$799,000","2 Fam","","5,001","5","2","0","0","No","$16,247"
"1","26015351","S","19","2to4","304 Shaler Boulevard","Ridgefield","$915,000","07/17/2026","$899,900","2 Fam","","8,700","5","3","0","1","No","$10,469"
"1","26008939","S","8","2to4","188 Highwood Avenue","Glen Rock","$915,000","07/20/2026","$735,000","2 Fam","","8,856","3","2","0","2","No","$17,308"
"1","26015459","S","15","2to4","51 Charles Street","Dumont","$895,000","07/27/2026","$809,051","2 Fam","","9,500","5","3","0","2","No","$15,505"
"1","26022511","S","13","2to4","271 Travers Place","Lyndhurst","$890,000","07/24/2026","$849,000","2 Fam","","4,530","5","3","0","2","No","$10,698"
"1","26019676","S","9","2to4","12 Hartmann Avenue","Garfield","$875,000","07/20/2026","$799,000","2 Fam","","6,012","5","3","0","1","No","$12,559"
"1","26012625","S","24","2to4","554 Kingsland Avenue","Lyndhurst","$875,000","07/15/2026","$849,000","2 Fam","","7,500","4","2","0","2","No","$13,119"
"1","26019996","S","17","2to4","61 Aladdin Avenue","Dumont","$850,000","07/31/2026","$849,000","2 Fam","","5,998","5","3","0","2","No","$15,309"
"1","26018299","S","11","2to4","208 Page Avenue","Lyndhurst","$850,000","07/22/2026","$799,999","2 Fam","","5,401","3","2","0","","No","$13,549"
"1","26014248","S","11","2to4","77 Morrell Place","Garfield","$850,000","07/13/2026","$795,000","2 Fam","","5,000","4","2","0","","No","$12,643"
