"#","MLS #","St","Days On Market","Cat","Address","Town","Sold Price","Sold Date","List Price","Style","Unit SqFt","Lot Size Square Feet","Bedrooms","Full Baths","Half Baths","Garage Spaces","Pool YN","Tax Annual Amount"
"1","26012555","S","36","RES","259 Indian Trail Drive","Franklin Lakes","$4,600,000","07/31/2026","$4,950,000","Colonial","","85,813","5","6","1","4","Yes","$65,320"
"1","26017330","S","14","RES","151 West End             Avenue","Ridgewood","$4,150,000","07/27/2026","$4,150,000","Colonial","","31,668","7","6","2","3","Yes","$48,190"
"1","26020639","S","9","RES","75 Susan Drive","Closter","$3,100,000","07/30/2026","$3,125,000","Colonial","","14,375","6","6","1","2","No","$0"
"1","26021373","S","17","RES","49 North Avenue","Montvale","$2,800,000","07/29/2026","$2,895,000","Colonial","","47,916","5","5","1","3","Yes","$23,935"
"1","26017667","S","13","RES","8 Lauren Pond Court","Demarest","$2,777,000","07/30/2026","$2,850,000","Colonial","","115,434","5","5","2","2","No","$45,697"
"1","25037197","S","9","RES","121 Lylewood Drive","Tenafly","$2,550,000","07/26/2026","$2,500,000","Colonial","","9,374","6","4","1","","No","$0"
"1","26015596","S","10","RES","309 Skyridge Road","Franklin Lakes","$2,200,000","07/28/2026","$2,099,999","Colonial","","60,984","6","3","1","3","Yes","$29,264"
"1","26011256","S","41","RES","912 Cherokee Lane","Franklin Lakes","$1,986,950","07/31/2026","$2,390,000","Colonial","","141,256","8","5","1","3","Yes","$46,213"
"1","26015269","S","21","RES","400 Heights Road","Ridgewood","$1,950,000","07/26/2026","$1,999,000","Colonial","","13,591","6","3","2","2","No","$29,016"
"1","25034090","S","13","RES","24 Red Rock Court","Ridgewood","$1,901,500","07/31/2026","$1,799,000","Colonial","","17,511","5","3","1","2","Yes","$22,496"
"1","26017451","S","30","RES","208 Lincoln Avenue","Ridgewood","$1,900,000","07/30/2026","$1,995,000","Colonial","","34,195","5","4","1","2","No","$26,163"
"1","26006115","S","94","RES","534 Brandon Place","Cliffside Park","$1,887,500","07/28/2026","$2,299,000","Colonial","","9,309","4","4","1","","No","$20,898"
"1","26016199","S","20","RES","109 Blauvelt Avenue","Ho-Ho-Kus","$1,875,000","07/31/2026","$1,899,000","Colonial","","19,602","5","5","1","2","No","$25,447"
"1","26011776","S","38","RES","62 Venus Drive","Closter","$1,860,000","07/26/2026","$1,865,000","Ranch","","15,682","5","4","1","2","No","$22,639"
"1","26011457","S","61","RES","279 Miller Road","Mahwah","$1,825,000","07/27/2026","$1,850,000","Colonial","","40,032","6","5","1","3","No","$26,000"
"1","26020641","S","11","RES","12 Cameron Road","Tenafly","$1,775,000","07/30/2026","$1,775,000","Colonial","","5,998","4","4","1","1","No","$0"
"1","26020983","S","4","RES","42 Saratoga Drive","Oakland","$1,755,000","07/28/2026","$1,749,999","Colonial","","22,521","4","5","1","2","Yes","$28,252"
"1","26016102","S","6","RES","209 W Passaic Avenue","Rutherford","$1,725,000","07/31/2026","$1,649,888","Colonial","","8,002","4","3","1","2","No","$17,735"
"1","26028612","S","53","RES","492 Queen Anne Road","Teaneck","$1,699,000","07/27/2026","$1,725,000","Colonial","","11,199","6","4","0","2","No","$15,629"
"1","26021364","S","19","RES","153 Charlotte Place","Englewood Cliffs","$1,625,000","07/27/2026","$1,650,000","Split","","9,945","4","3","0","2","No","$10,263"
